"Task ID","Task Name","Due Date","Assignee","Priority"
"3nrwtc","Design new logos","Monday, April 22nd 2019, 11:30:00 pm +05:30","[]","urgent"
"3nrwtm","Write feature blog post","Tuesday, April 23rd 2019, 10:30:00 pm +05:30","[]","low"
"3nrwth","Run productivity Adwords campaign","Saturday, June 1st 2019, 5:30:00 am +05:30","[]","normal"
"3nrwtf","Set up Google Analytics funnel","Tuesday, April 23rd 2019, 5:30:00 am +05:30","[]","urgent"
"3nrwtg","Organize monthly marketing budget","Tuesday, April 23rd 2019, 12:30:00 am +05:30","[]","high"
"3nrwtj","Draft new landing page","Monday, April 22nd 2019, 10:30:00 pm +05:30","[]","high"
"3nrwtk","Hire VP of marketing","Saturday, April 27th 2019, 4:30:00 am +05:30","[]","normal"
"3nrwtd","New hire training","","[]","none"
"3nrwte","Deploy new CRM","","[]","none"
"3nrwt5","Pitch idea on Shark Tank","","[]","none"
"3nrwt6","April fools marketing prank","","[]","none"
"3nrwt7","Implement artificial intelligence","","[]","none"
"3nrwt4","Get a billboard","","[]","none"
"3nrwtb","Research the competition","","[]","urgent"
"3nrwt9","Connect with investor","","[]","normal"
"3nrwt8","Record a product demo","","[]","high"
"3nrwta","Create affiliate system","","[]","high"